 year | team_key |           s           |         n         
 1981 | CLE      |                   8.5 | 0.799999999999999
 2010 | MIL      |                     7 |              -0.8
 2008 | HOU      |                   8.3 |               0.5
 1971 | MIN      |                   7.7 |              -0.1
 1972 | STL      |                   7.8 |                 0
 2010 | COL      |                   7.8 |                 0
 1975 | CIN      |                   7.2 |              -0.6
 1980 | CHC      |                     8 |                 0
 1985 | MIN      |                     8 |                 0
 1995 | PHI      |                   8.1 |                 0
 1974 | KCR      |                    46 |              37.9
 1976 | LAD      |                  40.2 |              31.9
 2010 | CIN      |                   8.5 |               0.1
 2008 | CLE      |                  13.4 |               4.9
 1999 | BOS      |                   8.4 |              -0.1
 1993 | STL      |                   8.5 |                 0
 1983 | STL      |                   8.6 |               0.1
 1993 | LAD      |                  25.6 |                17
 2005 | SFG      |                   8.1 |              -0.5
 1999 | PIT      |                     9 |               0.3
 1995 | WSN      |                     8 |              -0.7
 1981 | TOR      |                   6.3 |              -2.4
 1987 | NYM      |                  21.7 |                13
 1999 | HOU      |                   4.9 |              -3.9
 1996 | STL      |                   8.4 |              -0.4
 2010 | SEA      |                   8.1 |              -0.8
 1965 | STL      |                   3.8 |              -5.2
 2001 | SFG      |                    10 |               0.9
 1990 | MIM      |                   9.1 |                 0
 2003 | NYY      |                  17.1 |                 8
 2006 | ATL      |                   9.1 |              -0.1
 1975 | CLE      |                   8.2 |                -1
 1997 | PIT      |                   8.8 |              -0.4
 1973 | PIT      |                   9.3 |                 0
 1983 | TOR      |                   8.9 |              -0.4
 2001 | DET      |                   9.3 |                 0
 2010 | SDP      |                   9.3 |                 0
 1976 | KCR      |                   9.3 |                 0
 1977 | MIN      |                  10.7 |               1.3
 1980 | ATL      |                     8 |              -1.4
 1998 | MIL      |                   9.4 |                 0
 2002 | CHW      |                  14.1 |               4.6
 1997 | KCR      |                  10.6 |               1.1
 1990 | PHI      |                  15.9 |               6.3
 1998 | LAD      |                   9.5 |              -0.1
 2004 | SDP      |                   9.6 |                 0
 1992 | STL      |                   5.4 |              -4.2
 2006 | DET      |                  10.3 |               0.5
 1976 | CLE      |                  14.7 |               4.8
 2007 | TOR      |                   9.9 |                 0
 1990 | TOR      |                    10 |                 0
 1978 | ANA      |                  47.5 |              37.5
 1998 | ATL      |                   9.8 |              -0.2
 2010 | DET      |                    10 |              -0.3
 1986 | WSN      |                  11.3 |                 1
 2005 | TOR      |                   9.8 |              -0.6
 1988 | KCR      |                  10.4 |                 0
 2008 | COL      |                  10.3 |              -0.2
 1965 | TEX      |                    24 |              13.5
 1974 | MIN      |                  26.5 |              15.9
 2001 | LAD      |                  10.1 |              -0.5
 1978 | NYM      |                  19.1 |               8.5
 1987 | SDP      |                  18.2 |               7.5
 2002 | SDP      |                  10.6 |              -0.2
 1974 | CIN      |                  21.3 |              10.5
 1984 | SFG      |                  10.8 |                 0
 2008 | LAD      |                  11.4 |               0.6
